    ID   Field  Sample AphidCount
     1       1       1          0
     2       1       2          3
     3       1       3          5
     4       1       4         15
     5       1       5          7
     6       1       6          5
     7       1       7          2
     8       1       8          5
     9       1       9          4
    10       1      10          6
    11       1      11          1
    12       1      12          5
    13       1      13          1
    14       1      14          9
    15       1      15          1
    16       2       1         24
    17       2       2         10
    18       2       3         21
    19       2       4         28
    20       2       5         43
    21       2       6         11
    22       2       7         14
    23       2       8         22
    24       2       9          8
    25       2      10          7
    26       2      11          1
    27       2      12         20
    28       2      13          6
    29       2      14         10
    30       2      15          6
    31       3       1          3
    32       3       2          2
    33       3       3         10
    34       3       4         14
    35       3       5          4
    36       3       6         11
    37       3       7          6
    38       3       8          2
    39       3       9          3
    40       3      10          5
    41       3      11          3
    42       3      12         13
    43       3      13          5
    44       3      14          4
    45       3      15         15
