 DFemale   Treatment   Species  MateType  Eggs
       1    VitInter       Vit     Inter    57
       2    VitInter       Vit     Inter    15
       3    VitInter       Vit     Inter    40
       4    VitInter       Vit     Inter    34
       5    VitInter       Vit     Inter    42
       6    VitInter       Vit     Inter    19
       7    VitInter       Vit     Inter    43
       8    VitInter       Vit     Inter    39
       9    VitInter       Vit     Inter    36
      10    VitInter       Vit     Inter    24
      11    VitIntra       Vit     Intra    90
      12    VitIntra       Vit     Intra    80
      13    VitIntra       Vit     Intra   101
      14    VitIntra       Vit     Intra    59
      15    VitIntra       Vit     Intra    73
      16    VitIntra       Vit     Intra    51
      17    VitIntra       Vit     Intra    43
      18    VitIntra       Vit     Intra    57
      19    VitIntra       Vit     Intra    42
      20    VitIntra       Vit     Intra    66
      21   VulgInter      Vulg     Inter    82
      22   VulgInter      Vulg     Inter    91
      23   VulgInter      Vulg     Inter    66
      24   VulgInter      Vulg     Inter    98
      25   VulgInter      Vulg     Inter    82
      26   VulgInter      Vulg     Inter   134
      27   VulgInter      Vulg     Inter    51
      28   VulgInter      Vulg     Inter    96
      29   VulgInter      Vulg     Inter    52
      30   VulgInter      Vulg     Inter    91
      31   VulgIntra      Vulg     Intra   136
      32   VulgIntra      Vulg     Intra   117
      33   VulgIntra      Vulg     Intra   181
      34   VulgIntra      Vulg     Intra    41
      35   VulgIntra      Vulg     Intra    89
      36   VulgIntra      Vulg     Intra   106
      37   VulgIntra      Vulg     Intra   133
      38   VulgIntra      Vulg     Intra    98
      39   VulgIntra      Vulg     Intra   106
      40   VulgIntra      Vulg     Intra    79
