 DSample    Size  Weight    Time       C
       1   Large      20      30     971
       2   Large      20      30     858
       3   Large      20      30     984
       4   Large      20      30     900
       5   Large      20      60    1062
       6   Large      20      60    1028
       7   Large      20      60    1020
       8   Large      20      60    1106
       9   Large      50      30     956
      10   Large      50      30    1083
      11   Large      50      30     764
      12   Large      50      30     836
      13   Large      50      60    1030
      14   Large      50      60    1014
      15   Large      50      60     981
      16   Large      50      60    1065
      17   Large     200      30     951
      18   Large     200      30     878
      19   Large     200      30     882
      20   Large     200      30     918
      21   Large     200      60     974
      22   Large     200      60    1097
      23   Large     200      60     996
      24   Large     200      60    1048
      25   Small      20      30     965
      26   Small      20      30    1068
      27   Small      20      30     922
      28   Small      20      30     968
      29   Small      20      60    1115
      30   Small      20      60    1123
      31   Small      20      60    1167
      32   Small      20      60    1181
      33   Small      50      30     995
      34   Small      50      30    1177
      35   Small      50      30     951
      36   Small      50      30    1118
      37   Small      50      60    1050
      38   Small      50      60    1196
      39   Small      50      60    1116
      40   Small      50      60    1102
      41   Small     200      30     904
      42   Small     200      30     983
      43   Small     200      30     959
      44   Small     200      30     926
      45   Small     200      60    1050
      46   Small     200      60    1016
      47   Small     200      60    1144
      48   Small     200      60    1172
