Pot Calcium  Length    d1    d2    d3    d4
  1       D      47     0     0     0     1
  2       A      58     1     0     0     0
  3       B      80     0     1     0     0
  4       C      49     0     0     1     0
  5       D      49     0     0     0     1
  6       A      52     1     0     0     0
  7       D      45     0     0     0     1
  8       A      74     1     0     0     0
  9       C      70     0     0     1     0
 10       B      68     0     1     0     0
 11       A      58     1     0     0     0
 12       C      72     0     0     1     0
 13       A      79     1     0     0     0
 14       D      48     0     0     0     1
 15       C      74     0     0     1     0
 16       B      72     0     1     0     0
 17       D      38     0     0     0     1
 18       C      71     0     0     1     0
 19       B      74     0     1     0     0
 20       B      85     0     1     0     0
