Unit  Prep  Conc Absorbance
   1     1     3      0.482
   2     1     1      0.783
   3     2     1      1.014
   4     2     1      1.038
   5     1     4      0.092
   6     3     1      0.784
   7     3     3      0.327
   8     2     2      0.745
   9     2     3          *
  10     1     3      0.431
  11     3     1      1.001
  12     3     4      0.048
  13     1     4      0.130
  14     2     2      0.707
  15     1     1      0.766
  16     2     3      0.412
  17     3     4      0.056
  18     2     4      0.073
  19     3     2      0.808
  20     3     2      0.888
  21     1     2      0.780
  22     1     2      0.759
  23     3     3      0.364
  24     2     4      0.070
