  ID     Block   WholePlot   Subplot  Irrigation   Species   Grain
   1         1           1         1         yes         -    7.92
   2         1           1         2         yes        Am    3.62
   3         1           1         3         yes        Sm    5.70
   4         1           1         4         yes        Ga    4.49
   5         1           2         1          no         -    9.11
   6         1           2         2          no        Sm    6.77
   7         1           2         3          no        Ga    7.59
   8         1           2         4          no        Am    4.12
   9         2           1         1          no         -    8.02
  10         2           1         2          no        Ga    5.72
  11         2           1         3          no        Sm    6.32
  12         2           1         4          no        Am    3.19
  13         2           2         1         yes        Am    2.52
  14         2           2         2         yes        Ga    4.70
  15         2           2         3         yes         -    7.05
  16         2           2         4         yes        Sm    5.91
  17         3           1         1         yes        Sm    4.91
  18         3           1         2         yes        Ga    2.20
  19         3           1         3         yes         -    5.54
  20         3           1         4         yes        Am    1.97
  21         3           2         1          no        Am    2.92
  22         3           2         2          no        Sm    6.64
  23         3           2         3          no        Ga    6.90
  24         3           2         4          no         -    8.18
  25         4           1         1          no        Am    3.71
  26         4           1         2          no         -    7.16
  27         4           1         3          no        Ga    6.51
  28         4           1         4          no        Sm    6.65
  29         4           2         1         yes        Ga    4.91
  30         4           2         2         yes        Sm    5.78
  31         4           2         3         yes        Am    2.73
  32         4           2         4         yes         -    8.22
