  ID     Run   DUnit      Source    Time  Period Conidia
   1       1       1       Clone       5       1       8
   2       1       2       Clone      10       2     173
   3       1       3       Clone      15       3     165
   4       1       4       Clone      20       4     584
   5       1       5       Clone      25       5    1296
   6       1       6       Clone      40       6     400
   7       1       7       Clone      80       7    4981
   8       1       8    Standard       5       1       6
   9       1       9    Standard      10       2      71
  10       1      10    Standard      15       3     157
  11       1      11    Standard      20       4     568
  12       1      12    Standard      25       5     883
  13       1      13    Standard      40       6    1436
  14       1      14    Standard      80       7    3543
  15       2       1       Clone       5       1      44
  16       2       2       Clone      10       2     209
  17       2       3       Clone      15       3     383
  18       2       4       Clone      20       4    1188
  19       2       5       Clone      25       5     627
  20       2       6       Clone      40       6    1628
  21       2       7       Clone      80       7    4302
  22       2       8    Standard       5       1      71
  23       2       9    Standard      10       2     223
  24       2      10    Standard      15       3     426
  25       2      11    Standard      20       4    1391
  26       2      12    Standard      25       5    1098
  27       2      13    Standard      40       6     993
  28       2      14    Standard      80       7    4295
