ID     H     I    Weight
 1   0.0     0    122.00
 2   0.0    20     82.75
 3   0.0    40     65.75
 4   0.0    60     68.00
 5   0.0    80     57.50
 6   0.5     0     72.50
 7   0.5    20     84.75
 8   0.5    40     68.75
 9   0.5    60     70.00
10   0.5    80     60.75
11   1.0     0     52.00
12   1.0    20     71.50
13   1.0    40     79.50
14   1.0    60     68.75
15   1.0    80     63.00
16   1.5     0     36.25
17   1.5    20     80.50
18   1.5    40     65.75
19   1.5    60     77.25
20   1.5    80     69.25
21   2.0     0     29.25
22   2.0    20     72.00
23   2.0    40     82.50
24   2.0    60     68.25
25   2.0    80     73.25
