  Seed  Female    Male    Root
     1      F5      M1      76
     2      F1      M1      83
     3      F1      M1      85
     4      F3      M1      75
     5      F1      M1      88
     6      F1      M2      80
     7      F1      M2      79
     8      F4      M1      83
     9      F3      M1      80
    10      F2      M1      81
    11      F3      M2      68
    12      F4      M1      81
    13      F3      M2      69
    14      F5      M2      77
    15      F2      M2      78
    16      F2      M1      79
    17      F4      M2      80
    18      F1      M1      89
    19      F4      M1      85
    20      F5      M1      76
    21      F1      M1      83
    22      F4      M1      84
    23      F2      M1      82
    24      F2      M2      75
    24      F5      M1      77
    26      F2      M2      77
    27      F1      M1      84
    28      F3      M2      70
    29      F4      M1      86
    30      F3      M2      70
