DTray    Dose   Total  Normal
    1    0.00      60      59
    2    0.00      60      58
    3    0.00     100      99
    4    0.00     100      98
    5    0.01      60      58
    6    0.01      60      59
    7    0.01     100      98
    8    0.01     100      99
    9    0.10      60      54
   10    0.10      60      53
   11    0.10     100      88
   12    0.10     100      87
   13    0.50      60       4
   14    0.50      60      11
   15    0.50     100      14
   16    0.50     100      15
   17    1.00      60       3
   18    1.00      60       2
   19    1.00     100       2
   20    1.00     100       1
   21    1.50      60       3
   22    1.50      60       3
   23    1.50     100       1
   24    1.50     100       3
