DPlot    Type      SD      QD    d1    d2    d3
    1   Rauli    2970   13.02     0     1     0
    2   Rauli    1500   14.84     0     1     0
    3   Rauli    4080   15.02     0     1     0
    4   Rauli    1600   15.44     0     1     0
    5   Rauli    2040   18.66     0     1     0
    6   Rauli    1960   18.02     0     1     0
    7   Rauli    2120   15.20     0     1     0
    8   Rauli    2160   19.60     0     1     0
    9   Rauli    2720   11.53     0     1     0
   10   Roble    3890   11.95     0     0     1
   11   Roble    1070   22.74     0     0     1
   12   Roble    1720   14.41     0     0     1
   13   Roble    2920   12.58     0     0     1
   14   Roble    2960   11.64     0     0     1
   15   Roble    3440   11.60     0     0     1
   16   Roble    1600   13.17     0     0     1
   17   Roble    3100    9.48     0     0     1
   18   Roble    1420   17.85     0     0     1
   19   Roble    2060   15.85     0     0     1
   20   Roble    2440   14.54     0     0     1
   21   Roble    1720   16.20     0     0     1
   22   Roble    1220   18.27     0     0     1
   23   Roble    4080    8.88     0     0     1
   24   Roble    3440   11.65     0     0     1
   25   Roble     760   26.31     0     0     1
   26   Roble    3840   12.04     0     0     1
   27   Roble    1600   14.38     0     0     1
   28   Roble    2320   12.60     0     0     1
   29  Coigue    1780   22.11     1     0     0
   30  Coigue     980   30.50     1     0     0
   31  Coigue    3100   16.98     1     0     0
   32  Coigue    4120   12.69     1     0     0
   33  Coigue    2280   17.92     1     0     0
   34  Coigue    4760   15.19     1     0     0
   35  Coigue    4960   12.00     1     0     0
   36  Coigue    1520   19.51     1     0     0
   37  Coigue    1480   21.39     1     0     0
   38  Coigue    5560   10.87     1     0     0
   39  Coigue    2000   23.94     1     0     0
   40  Coigue    2960   14.21     1     0     0
   41  Coigue    3240   19.67     1     0     0
