Plot      GR Variety     Trt  Damage     TGW
   1       +       N      +N      60   3.342
   2       -       B      -B      30   3.185
   3       -       N      -N      40   3.997
   4       +       N      +N      30   4.111
   5       +       B      +B      20   3.783
   6       -       B      -B      20   3.302
   7       -       N      -N       0   4.807
   8       -       N      -N       0   4.451
   9       -       B      -B      30   3.419
  10       +       B      +B      40   3.295
  11       +       B      +B      50   3.169
  12       +       N      +N      50   3.591
  13       +       N      +N      60   3.150
  14       -       N      -N      60   3.436
  15       +       N      +N      50   3.793
  16       +       N      +N      40   3.937
  17       -       N      -N      40   3.901
  18       -       B      -B      30   3.357
  19       -       B      -B      30   3.562
  20       -       B      -B      30   3.338
  21       +       B      +B       0   3.749
  22       +       B      +B      30   3.138
  23       +       B      +B       0   3.756
  24       -       N      -N       0   5.019
