DPlant    Distance   fDist   Count
     1           0       1      21
     2           0       1      33
     3           0       1      25
     4           0       1      16
     5           2       2      19
     6           2       2      20
     7           2       2      17
     8           2       2      19
     9           4       3       8
    10           4       3      10
    11           4       3       8
    12           4       3       8
    13           6       4      12
    14           6       4      10
    15           6       4       6
    16           6       4      22
    17           8       5      10
    18           8       5       6
    19           8       5       9
    20           8       5      11
    21          10       6       9
    22          10       6       9
    23          10       6      13
    24          10       6      13
