  Sample    Site     HLength   Spikelets   TotalSeed
       1       C       26.74        26.1        6232
       2       C       23.77        28.7        6435
       3       C       28.80        25.2        7022
       4       C       29.89        30.1       10700
       5       C       31.01        29.1       11524
       6       C       26.00        26.3       12814
       7       C       31.25        21.4       13093
       8       C       33.48        27.7       14991
       9       C       24.86        28.0       15137
      10       C       25.71        28.0       16162
      11       C       26.79        27.9       16956
      12       C       31.19        27.8       16962
      13       C       30.79        26.8       17234
      14       C       33.17        28.7       17409
      15       C       30.74        26.1       17414
      16       C       31.62        25.5       18828
      17       C       30.22        28.1       22611
      18       C       31.59        28.6       23690
      19       C       29.72        26.1       25108
      20       C       31.23        27.6       26121
      21       C       37.12        30.0       28161
      22       C       33.12        27.5       28637
      23       C       25.22        27.2       31439
      24       L       19.66        23.5        7084
      25       L       27.94        22.3       10436
      26       L       32.14        22.8       11119
      27       L       27.40        22.0       11613
      28       L       26.93        22.8       11883
      29       L       26.03        23.8       12824
      30       L       26.21        21.1       13320
      31       L       23.87        21.2       15116
      32       L       27.58        21.1       15243
      33       L       23.57        19.6       16830
      34       L       28.33        24.7       18856
      35       L       24.39        26.1       20930
      36       L       20.95        21.7       24200
      37       L       30.03        24.6       24369
      38       L       26.92        26.0       24944
      39       L       27.47        23.1       25097
      40       L       26.46        27.0       28136
      41       L       28.19        23.1       31434
      42       L       27.81        21.8       33256
      43       L       27.26        21.6       34690
      44       L       31.30        24.2       38623
      45       L       27.20        21.5       54260
      46       L       30.38        25.9       58827
      47       P       28.28        24.2       35042
      48       P       31.50        25.1       42312
      49       P       38.44        27.5       60867
      50       P       33.99        25.1       62047
      51       P       29.31        23.4       65286
      52       P       29.16        24.6       80327
      53       P       33.27        23.6       96021
      54       P       27.02        24.7       96173
      55       P       33.89        24.6      100352
      56       P       30.94        24.0      104777
      57       P       25.73        18.0      112500
      58       P       32.90        25.3      117237
      59       P       33.76        26.4      120937
      60       P       36.35        34.1      127307
      61       P       35.98        28.7      137416
      62       P       31.22        27.5      161070
      63       P       33.96        25.4      162154
      64       P       32.76        27.7      173734
      65       P       29.47        27.7      181971
      66       P       32.35        25.9      190408
      67       P       35.48        30.8      215477
      68       P       34.53        30.5      245200
      69       P       30.59        27.2      246758
      70       P       31.75        29.2      300595
      71       W       20.09        19.8       59321
      72       W       21.92        22.6       59960
      73       W       18.21        18.0       62700
      74       W       22.74        20.4       66096
      75       W       26.92        24.9       78618
      76       W       23.00        22.1       80400
      77       W       24.91        25.9       84607
      78       W       19.99        19.2       90436
      79       W       20.80        21.0       93800
      80       W       23.85        24.3      105700
      81       W       20.35        23.1      106321
      82       W       22.05        22.0      106480
      83       W       23.67        21.5      122820
      84       W       28.43        24.1      128132
      85       W       18.84        19.4      130834
      86       W       21.24        21.6      157896
      87       W       19.86        20.8      171947
