 DBeetle  Length   Width
       1    4.60    1.50
       2    4.70    1.65
       3    4.50    1.55
       4    4.55    1.65
       5    4.75    1.65
       6    4.40    1.50
       7    4.20    1.70
       8    4.70    1.55
       9    4.55    1.60
      10    4.70    1.65
      11    4.65    1.55
      12    4.50    1.55
      13    4.30    1.50
      14    4.65    1.65
      15    4.75    1.65
      16    4.65    1.60
      17    4.45    1.60
      18    4.55    1.50
      19    4.60    1.70
      20    4.55    1.60
      21    4.35    1.60
      22    4.45    1.60
      23    4.55    1.55
      24    4.35    1.55
      25    4.65    1.65
      26    4.50    1.55
      27    4.45    1.50
      28    4.45    1.60
      29    4.10    1.40
      30    4.50    1.50
      31    4.60    1.60
      32    4.75    1.57
      33    4.70    1.65
      34    4.35    1.55
      35    4.60    1.60
      36    4.55    1.65
      37    4.78    1.55
      38    4.60    1.60
      39    4.45    1.48
      40    4.60    1.60
      41    4.65    1.62
      42    4.72    1.65
      43    4.95    1.73
      44    4.65    1.65
      45    4.60    1.62
      46    4.45    1.55
      47    4.30    1.52
      48    4.75    1.60
      49    4.53    1.55
      50    4.35    1.50
